ID,Nama,Departemen,Gaji,Usia,Lama_Kerja,Status_Karyawan
52,Eka,QC,5574884,26,24,Kontrak
53,Dewi,Produksi,3906432,40,11,Kontrak
54,Citra,Produksi,5845032,33,21,Kontrak
55,Andi,HRD,4878072,48,15,Tetap
56,Eka,Produksi,5412505,38,4,Tetap
57,Dewi,HRD,5208388,49,27,Kontrak
58,Budi,Logistik,4591008,43,11,Kontrak
59,Dewi,QC,5082235,31,17,Kontrak
60,Citra,Produksi,5771719,27,20,Kontrak
61,Budi,Logistik,4979368,38,12,Tetap
62,Citra,HRD,5327201,33,18,Tetap
63,Eka,HRD,5012509,27,17,Kontrak
64,Andi,Produksi,4769922,43,4,Kontrak
65,Budi,Logistik,6941904,37,1,Tetap
66,Eka,Logistik,5533512,25,12,Tetap
67,Citra,HRD,4665124,46,26,Kontrak
68,Budi,QC,5756758,54,8,Tetap
69,Budi,Produksi,4855951,22,1,Kontrak
70,Dewi,QC,5595052,36,17,Kontrak
71,Eka,Produksi,4951087,38,23,Tetap
72,Budi,Logistik,3759194,40,2,Kontrak
73,Andi,QC,4938401,40,11,Kontrak
74,Andi,HRD,4686998,41,24,Kontrak
75,Dewi,HRD,3994303,22,15,Kontrak
76,Budi,HRD,5736085,44,25,Kontrak
77,Dewi,Logistik,4959840,37,8,Kontrak
78,Dewi,HRD,5735266,45,11,Kontrak
79,Dewi,Logistik,4539732,41,13,Kontrak
80,Budi,,3770302,36,19,Tetap
81,Budi,HRD,6077393,45,26,Tetap
82,Citra,HRD,4666015,58,3,Kontrak
83,Dewi,QC,5013625,54,20,Tetap
84,Dewi,Produksi,6279006,53,19,Kontrak
85,Dewi,Produksi,5946861,52,19,Tetap
86,Dewi,QC,5005352,36,6,Tetap
87,Andi,QC,5065373,22,14,Tetap
88,Budi,HRD,6357040,33,17,Kontrak
89,Dewi,HRD,4389571,56,6,Kontrak
90,Budi,QC,5900910,58,2,Tetap
91,Eka,QC,6737488,51,7,Tetap
92,Dewi,HRD,5910921,47,28,Kontrak
93,Budi,Logistik,5159353,32,7,Tetap
94,Citra,Produksi,4620279,53,0,Tetap
95,Dewi,,5309233,23,10,Kontrak
96,Eka,QC,6298414,31,21,Tetap
97,Dewi,Logistik,4362273,43,20,Kontrak
98,Budi,HRD,5007584,30,6,Tetap
99,Andi,Logistik,6387681,51,12,Kontrak
100,Andi,Logistik,5867541,46,1,Kontrak
101,Dewi,Logistik,6201045,42,1,Kontrak
102,Andi,QC,5467477,39,20,Tetap
103,Budi,Logistik,2786682,41,15,Tetap
104,Budi,HRD,5233511,37,0,Tetap
105,Andi,HRD,4762935,56,23,Tetap
106,Dewi,QC,4052769,50,6,Kontrak
107,Budi,Logistik,5280662,51,24,Tetap
108,Dewi,QC,5404886,24,7,Tetap
109,Eka,QC,4826813,53,6,Tetap
110,Eka,QC,4803698,35,14,Tetap
111,Budi,QC,6561251,47,8,Tetap
112,Eka,QC,6289437,26,29,Kontrak
113,Eka,Logistik,3544502,49,11,Tetap
114,Dewi,QC,4284814,29,18,Kontrak
115,Eka,QC,3079963,54,22,Tetap
116,Dewi,QC,5405580,57,27,Tetap
117,Andi,QC,5220343,34,20,Kontrak
118,Eka,QC,4343156,41,16,Kontrak
119,Eka,HRD,4218982,39,5,Kontrak
120,Eka,HRD,4851460,41,8,Kontrak
121,Eka,QC,5962616,54,6,Tetap
122,Andi,QC,4549063,42,15,Tetap
123,Andi,QC,4879216,45,20,Tetap
124,Budi,Produksi,5067696,49,2,Kontrak
125,Andi,HRD,4236555,26,4,Kontrak
126,Andi,Logistik,5876320,51,28,Tetap
127,Eka,Produksi,4940357,45,16,Kontrak
128,Citra,HRD,3916209,35,16,Tetap
129,Citra,,4430986,57,21,Kontrak
130,Andi,HRD,4970822,57,10,Kontrak
131,Budi,Logistik,5983159,47,9,Tetap
132,Andi,Produksi,5073280,34,0,Tetap
133,Citra,Produksi,6335279,42,9,Kontrak
134,Eka,HRD,3739075,47,24,Kontrak
135,Eka,HRD,4553696,55,15,Tetap
136,Budi,Logistik,6077926,35,22,Kontrak
137,Citra,HRD,6089846,42,26,Kontrak
138,Dewi,QC,4871952,40,5,Tetap
139,Budi,HRD,4647044,33,21,Tetap
140,Eka,QC,5322916,57,19,Tetap
141,Dewi,Produksi,4867995,51,24,Tetap
142,Budi,Produksi,6163456,54,12,Kontrak
143,Budi,HRD,4835457,44,10,Kontrak
144,Andi,HRD,5413690,34,15,Tetap
145,Budi,QC,4882871,49,17,Tetap
146,Dewi,Logistik,3551934,49,8,Tetap
147,Budi,HRD,5755880,40,19,Kontrak
148,Andi,QC,5444814,58,27,Tetap
149,Budi,HRD,5756626,52,27,Tetap
150,Citra,QC,6181605,38,7,Kontrak
151,Citra,Produksi,4634002,49,24,Tetap
152,Citra,QC,5125797,25,21,Kontrak
153,Budi,QC,6090476,27,27,Kontrak
154,Dewi,,4466155,40,28,Tetap
155,Citra,HRD,5148932,44,9,Kontrak
156,Dewi,Logistik,4191528,27,29,Kontrak
157,Budi,HRD,5910237,45,1,Tetap
158,Budi,HRD,4927941,43,4,Tetap
159,Dewi,Produksi,4744592,42,9,Tetap
160,Dewi,HRD,5495904,35,27,Tetap
161,Citra,Logistik,5098524,45,19,Tetap
162,Eka,QC,5288346,46,4,Tetap
163,Andi,QC,6158009,38,26,Kontrak
164,Dewi,HRD,5295935,56,4,Kontrak
165,Citra,HRD,4741668,38,4,Kontrak
166,Dewi,Produksi,4268934,49,0,Tetap
167,Citra,Logistik,4872438,23,15,Tetap
168,Citra,,3356659,55,16,Tetap
169,Dewi,Logistik,5137210,22,10,Tetap
170,Budi,Produksi,4617124,24,22,Tetap
171,Dewi,Produksi,4482113,43,15,Kontrak
172,Budi,HRD,3224181,25,12,Tetap
173,Dewi,HRD,5883223,36,8,Kontrak
174,Dewi,QC,5301442,57,4,Tetap
175,Dewi,HRD,3768307,33,26,Tetap
176,Dewi,QC,4908155,58,24,Tetap
177,Andi,QC,4019245,28,16,Kontrak
178,Andi,Produksi,4675863,52,15,Kontrak
179,Eka,Logistik,4682327,26,17,Tetap
180,Eka,HRD,5225625,48,13,Kontrak
181,Andi,HRD,6236219,46,27,Tetap
182,Andi,QC,4085016,38,15,Kontrak
183,Eka,Produksi,5604991,49,28,Tetap
184,Budi,HRD,5155991,48,23,Tetap
185,Citra,HRD,5047573,47,6,Tetap
186,Budi,Logistik,5423138,50,2,Tetap
187,Eka,HRD,6069097,48,12,Kontrak
188,Budi,HRD,3887038,38,6,Kontrak
189,Dewi,HRD,4479375,59,20,Kontrak
190,Eka,Produksi,4779836,37,28,Tetap
191,Citra,,3924560,30,18,Tetap
192,Citra,Logistik,5130877,53,15,Tetap
193,Eka,QC,5418522,22,27,Tetap
194,Dewi,Produksi,5061278,30,4,Kontrak
195,Andi,HRD,5476646,28,7,Kontrak
196,Dewi,Logistik,4980035,58,14,Kontrak
197,Dewi,Logistik,4492672,27,21,Kontrak
198,Citra,QC,5022867,58,8,Tetap
199,Budi,Logistik,4900473,25,17,Tetap
200,Budi,Logistik,5001864,58,19,Kontrak
